GT,Score
Down syndrome,P1
Neural tube defect,P0
Cleft lip/palate,P1
Tumor of endocrine glands,P5
Cleft palate,P1
"Renal agenesis, unilateral",P0
Pneumonia caused by Pseudomonas aeruginosa infection,P5
"47,XYY syndrome",P0
Iniencephaly ,P0
Rare cutaneous lupus erythematosus,P5
Congenital bilateral absence of vas deferens,P0
Ovarian cancer,"""P0"""
Primary Sjögren syndrome,P1
B-cell chronic lymphocytic leukemia,P1
Congenital hydrocephalus,P1
Necrotizing enterocolitis,P1
Preeclampsia,P0
Asherman syndrome,P1
Renal dysplasia,P5
Diffuse large B-cell lymphoma,P5
Trisomy X,P0
Scleroderma,P1
Non-immune hydrops fetalis,P0
Renal cell carcinoma,P0
Genetic peripheral neuropathy,P5
Cardiogenic shock,P0
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,P5
AL amyloidosis,P0
Hepatitis delta,P0
Fetal cytomegalovirus syndrome,P2
Romano-Ward syndrome,"""P0"""
Autosomal dominant polycystic kidney disease,P1
Congenital pulmonary valvar stenosis,P5
Uveitis,P0
Congenital hypothyroidism,P1
Moderate and severe traumatic brain injury,P5
22q11.2 deletion syndrome,P0
Primary congenital hypothyroidism,P0
Follicular lymphoma,P0
Hemorrhagic fever-renal syndrome,P0
Non-papillary transitional cell carcinoma of the bladder,P5
High-grade dysplasia in patients with Barrett esophagus,P5
Aorta coarctation,P0
Uremic pruritus,P5
Radiation proctitis,P1
Osteochondritis dissecans,P0
Isolated anencephaly/exencephaly,P0
Eosinophilic esophagitis,P1
Tetralogy of Fallot,P0
Neurofibromatosis type 1,P1
Permanent congenital hypothyroidism,"""P0"""
Congenital toxoplasmosis,P1
Placental insufficiency,P1
Fragile X syndrome,P0
Spinal cord injury,P1
Sepsis in premature infants,P1
Vernal keratoconjunctivitis,P0
Transposition of the great arteries,P1
Retinitis pigmentosa,P1
Polycythemia vera,P1
Peripartum cardiomyopathy,P1
Soft tissue sarcoma,P5
Idiopathic hypersomnia,P0
Primary systemic amyloidosis,P5
Congenital diaphragmatic hernia,P1
Partial atrioventricular septal defect,P0
Non-acquired combined pituitary hormone deficiency,P5
Central retinal vein occlusion,P4
Dermatitis herpetiformis,P0
Post-transplant lymphoproliferative disease,P1
Glial tumor,P5
Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,P5
Thyroid hemiagenesis,P0
Syndactyly type 1,P5
Bullous pemphigoid,P1
Alopecia universalis,P5
Immune thrombocytopenia,P1
Narcolepsy type 1,P1
Primary biliary cholangitis,P1
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,P1
Hereditary breast and ovarian cancer syndrome,P1
Neovascular glaucoma,P0
Craniosynostosis,P1
Esophageal atresia,P1
Congenitally uncorrected transposition of the great arteries,P1
Non-syndromic anorectal malformation,P5
Primary cutaneous T-cell lymphoma,P5
Autoimmune hepatitis,P1
Multicystic dysplastic kidney,P3
Unilateral multicystic dysplastic kidney,P1
Scarring in glaucoma filtration surgical procedures,P5
Pulmonary fungal infections in patients deemed at risk,P5
Pouchitis,P0
Congenital hypothyroidism due to developmental anomaly,P1
Partial chromosome Y deletion,P0
Juvenile idiopathic arthritis,P1
Oligoarticular juvenile idiopathic arthritis,P1
Non-syndromic posterior hypospadias,P1
AIDS wasting syndrome,P5
Acute liver failure,P5
Sarcoidosis,P1
Infant acute respiratory distress syndrome,P0
Proximal spinal muscular atrophy,P5
Tenosynovial giant cell tumor,P0
Alpha-1-antitrypsin deficiency,P1
Myasthenia gravis,P1
Marfan syndrome,P1
Congenital sucrase-isomaltase deficiency,P0
Proximal 16p11.2 microdeletion syndrome,P0
Arrhythmogenic right ventricular cardiomyopathy,P1
Limbal stem cell deficiency,P0
Vulvar intraepithelial neoplasia,P1
Complete atrioventricular septal defect,P1
Brugada syndrome,P1
Cystic fibrosis,P1
Isolated spina bifida,P1
Isolated biliary atresia,P1
Anal fistula,P5
Adenovirus infection in immunocompromised patients,P0
Non-infectious posterior uveitis,P5
Pemphigus vulgaris,P1
Hypoplastic left heart syndrome,P3
Charcot-Marie-Tooth disease type 1,P1
Familial isolated dilated cardiomyopathy,P5
Gastroschisis,P1
Trisomy 18,P0
Recessive X-linked ichthyosis,P5
Acute peripheral arterial occlusion,P5
Hereditary hemorrhagic telangiectasia,P1
Primary membranoproliferative glomerulonephritis,P5
Buerger disease,P1
Tuberculosis,P1
Herpes simplex virus stromal keratitis,P1
Microtia,P1
Rare carcinoma of pancreas,P0
Systemic sclerosis,P1
Hepatocellular carcinoma,P5
Mucopolysaccharidosis type 4A,P1
Young-onset Parkinson disease,P1
Lennox-Gastaut syndrome,P1
Familial cerebral cavernous malformation,P0
Atopic keratoconjunctivitis,P5
Dentinogenesis imperfecta type 2,P0
Dentinogenesis imperfecta,P1
Thyroid ectopia,P5
Progressive supranuclear palsy,P1
Idiopathic intracranial hypertension,P1
Cystinuria,P1
Chronic primary adrenal insufficiency,P1
Holoprosencephaly,P0
Supravalvular aortic stenosis,P1
Hirschsprung disease,P1
Stargardt disease,P4
Bronchopulmonary dysplasia,P1
Pleural empyema,P0
Gastrointestinal stromal tumor,P1
Mucolipidosis type III alpha/beta,P5
Thyroid carcinoma,P1
Triploidy,P0
Von Willebrand disease,P1
Addison disease,P1
Hypermobile Ehlers-Danlos syndrome,P1
Steinert myotonic dystrophy,P0
Rare lymphatic malformation,P5
Stickler syndrome,P1
CD4+/CD56+ hematodermic neoplasm,P0
Small cell lung cancer,P1
Medium chain acyl-CoA dehydrogenase deficiency,P5
Huntington disease,P1
Multiple myeloma,P1
Omphalocele,P1
"Focal, segmental or multifocal dystonia",P5
Idiopathic pulmonary fibrosis,P1
Systemic mastocytosis,P1
Hemophilia A,P1
Neuroblastoma,P1
Acute lymphoblastic leukemia,P1
Mayer-Rokitansky-Küster-Hauser syndrome,P1
Williams syndrome,P1
Alopecia totalis,P5
Mastocytosis,P1
Partial deep dermal and full thickness burns,P0
Acquired aneurysmal subarachnoid hemorrhage,P5
Rett syndrome,P1
Phenylketonuria,P1
Nephroblastoma,P1
Familial or sporadic hemiplegic migraine,P5
Acute myeloid leukemia,P5
Aicardi-Goutières syndrome,P0
Congenital adrenal hyperplasia,P1
Dysbetalipoproteinemia,P0
Catecholaminergic polymorphic ventricular tachycardia,P0
Septo-optic dysplasia spectrum,P1
Dermatofibrosarcoma protuberans,P0
Duane retraction syndrome,P0
Sickle cell anemia,P5
Polymalformative genetic syndrome with increased risk of developing cancer,P5
Aplasia cutis congenita,P5
Duchenne muscular dystrophy,P1
Dravet syndrome,P1
